,pmid,pm_link,date_pub,journal,abstract,title,mesh,concept_id_1,concept_me,study_design,data_type,domain_id,category_name,n_participants,geography
0,25308853,https://pubmed.ncbi.nlm.nih.gov/25308853,['2015 Feb'],['Pediatric blood & cancer'],"['BACKGROUND: Immune cytopenias are a recognized life-threatening complication  following pediatric solid organ transplants (SOT), but treatment responses and  overall outcome are not well described. The aim of this study was to evaluate the  demographic characteristics, response to treatments, and outcomes of a cohort of  patients who developed immune cytopenias following SOT. PROCEDURE: In this single  center retrospective review, patients with immune cytopenias after SOT were  identified by electronic medical record (EMR) search and transplant databases from  1995-2012. RESULTS: Of 764 SOT patients, 19 (2.4%) developed immune cytopenias.  Incidence varied widely by transplant type from 1.2% (rel) to 23.5%  (multivisceral). Autoimmune hemolytic anemia (AIHA) was the most common immune  cytopenia. Overall median time from transplant to immune cytopenia was 8u2009m and  varied by transplant type from 3u2009m (liver) to 74u2009m (heart). Standard therapies for  immune cytopenias were often used and ineffective. The most effective therapy for  the immune cytopenia was changing immunosuppression from tacrolimus to another  agent. Three of 19 patients died; none directly attributed to the immune cytopenia.  CONCLUSIONS: Immune cytopenias are not rare after SOT, and patients usually do not  respond well to traditiol first line therapies. Provided that the risk of organ  rejection is otherwise mageable, temporary cessation of tacrolimus could be more  widely explored in this challenging clinical context. Pediatr Blood Cancer  2015;62:214-218. © 2014 Wiley Periodicals, Inc.']",['Treatment and outcomes of immune cytopenias following solid organ transplant in  children'],anemia,439777,anemia,retrospective,EMR/EHR,Condition,Blood disease,864,
1,25308853,https://pubmed.ncbi.nlm.nih.gov/25308853,['2015 Feb'],['Pediatric blood & cancer'],"['BACKGROUND: Immune cytopenias are a recognized life-threatening complication  following pediatric solid organ transplants (SOT), but treatment responses and  overall outcome are not well described. The aim of this study was to evaluate the  demographic characteristics, response to treatments, and outcomes of a cohort of  patients who developed immune cytopenias following SOT. PROCEDURE: In this single  center retrospective review, patients with immune cytopenias after SOT were  identified by electronic medical record (EMR) search and transplant databases from  1995-2012. RESULTS: Of 764 SOT patients, 19 (2.4%) developed immune cytopenias.  Incidence varied widely by transplant type from 1.2% (rel) to 23.5%  (multivisceral). Autoimmune hemolytic anemia (AIHA) was the most common immune  cytopenia. Overall median time from transplant to immune cytopenia was 8u2009m and  varied by transplant type from 3u2009m (liver) to 74u2009m (heart). Standard therapies for  immune cytopenias were often used and ineffective. The most effective therapy for  the immune cytopenia was changing immunosuppression from tacrolimus to another  agent. Three of 19 patients died; none directly attributed to the immune cytopenia.  CONCLUSIONS: Immune cytopenias are not rare after SOT, and patients usually do not  respond well to traditiol first line therapies. Provided that the risk of organ  rejection is otherwise mageable, temporary cessation of tacrolimus could be more  widely explored in this challenging clinical context. Pediatr Blood Cancer  2015;62:214-218. © 2014 Wiley Periodicals, Inc.']",['Treatment and outcomes of immune cytopenias following solid organ transplant in  children'],tacrolimus,950637,tacrolimus,retrospective,EMR/EHR,Drug,DERMATOLOGICALS,864,
2,25308853,https://pubmed.ncbi.nlm.nih.gov/25308853,['2015 Feb'],['Pediatric blood & cancer'],"['BACKGROUND: Immune cytopenias are a recognized life-threatening complication  following pediatric solid organ transplants (SOT), but treatment responses and  overall outcome are not well described. The aim of this study was to evaluate the  demographic characteristics, response to treatments, and outcomes of a cohort of  patients who developed immune cytopenias following SOT. PROCEDURE: In this single  center retrospective review, patients with immune cytopenias after SOT were  identified by electronic medical record (EMR) search and transplant databases from  1995-2012. RESULTS: Of 764 SOT patients, 19 (2.4%) developed immune cytopenias.  Incidence varied widely by transplant type from 1.2% (rel) to 23.5%  (multivisceral). Autoimmune hemolytic anemia (AIHA) was the most common immune  cytopenia. Overall median time from transplant to immune cytopenia was 8u2009m and  varied by transplant type from 3u2009m (liver) to 74u2009m (heart). Standard therapies for  immune cytopenias were often used and ineffective. The most effective therapy for  the immune cytopenia was changing immunosuppression from tacrolimus to another  agent. Three of 19 patients died; none directly attributed to the immune cytopenia.  CONCLUSIONS: Immune cytopenias are not rare after SOT, and patients usually do not  respond well to traditiol first line therapies. Provided that the risk of organ  rejection is otherwise mageable, temporary cessation of tacrolimus could be more  widely explored in this challenging clinical context. Pediatr Blood Cancer  2015;62:214-218. © 2014 Wiley Periodicals, Inc.']",['Treatment and outcomes of immune cytopenias following solid organ transplant in  children'],neutropenia,4119158,neutropenia,retrospective,EMR/EHR,Condition,Blood disease,864,
3,25308853,https://pubmed.ncbi.nlm.nih.gov/25308853,['2015 Feb'],['Pediatric blood & cancer'],"['BACKGROUND: Immune cytopenias are a recognized life-threatening complication  following pediatric solid organ transplants (SOT), but treatment responses and  overall outcome are not well described. The aim of this study was to evaluate the  demographic characteristics, response to treatments, and outcomes of a cohort of  patients who developed immune cytopenias following SOT. PROCEDURE: In this single  center retrospective review, patients with immune cytopenias after SOT were  identified by electronic medical record (EMR) search and transplant databases from  1995-2012. RESULTS: Of 764 SOT patients, 19 (2.4%) developed immune cytopenias.  Incidence varied widely by transplant type from 1.2% (rel) to 23.5%  (multivisceral). Autoimmune hemolytic anemia (AIHA) was the most common immune  cytopenia. Overall median time from transplant to immune cytopenia was 8u2009m and  varied by transplant type from 3u2009m (liver) to 74u2009m (heart). Standard therapies for  immune cytopenias were often used and ineffective. The most effective therapy for  the immune cytopenia was changing immunosuppression from tacrolimus to another  agent. Three of 19 patients died; none directly attributed to the immune cytopenia.  CONCLUSIONS: Immune cytopenias are not rare after SOT, and patients usually do not  respond well to traditiol first line therapies. Provided that the risk of organ  rejection is otherwise mageable, temporary cessation of tacrolimus could be more  widely explored in this challenging clinical context. Pediatr Blood Cancer  2015;62:214-218. © 2014 Wiley Periodicals, Inc.']",['Treatment and outcomes of immune cytopenias following solid organ transplant in  children'],rituximab,1314273,rituximab,retrospective,EMR/EHR,Drug,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,864,
4,25308853,https://pubmed.ncbi.nlm.nih.gov/25308853,['2015 Feb'],['Pediatric blood & cancer'],"['BACKGROUND: Immune cytopenias are a recognized life-threatening complication  following pediatric solid organ transplants (SOT), but treatment responses and  overall outcome are not well described. The aim of this study was to evaluate the  demographic characteristics, response to treatments, and outcomes of a cohort of  patients who developed immune cytopenias following SOT. PROCEDURE: In this single  center retrospective review, patients with immune cytopenias after SOT were  identified by electronic medical record (EMR) search and transplant databases from  1995-2012. RESULTS: Of 764 SOT patients, 19 (2.4%) developed immune cytopenias.  Incidence varied widely by transplant type from 1.2% (rel) to 23.5%  (multivisceral). Autoimmune hemolytic anemia (AIHA) was the most common immune  cytopenia. Overall median time from transplant to immune cytopenia was 8u2009m and  varied by transplant type from 3u2009m (liver) to 74u2009m (heart). Standard therapies for  immune cytopenias were often used and ineffective. The most effective therapy for  the immune cytopenia was changing immunosuppression from tacrolimus to another  agent. Three of 19 patients died; none directly attributed to the immune cytopenia.  CONCLUSIONS: Immune cytopenias are not rare after SOT, and patients usually do not  respond well to traditiol first line therapies. Provided that the risk of organ  rejection is otherwise mageable, temporary cessation of tacrolimus could be more  widely explored in this challenging clinical context. Pediatr Blood Cancer  2015;62:214-218. © 2014 Wiley Periodicals, Inc.']",['Treatment and outcomes of immune cytopenias following solid organ transplant in  children'],thrombocytopenia,432870,thrombocytopenia,retrospective,EMR/EHR,Condition,Blood disease,864,
5,25550126,https://pubmed.ncbi.nlm.nih.gov/25550126,['2015 Feb'],['Jourl of urban health '],"[""Buprenorphine maintence therapy (BMT) expands treatment access for opioid  dependence and can be integrated into primary health-care settings. Treating opioid  dependence, however, should ideally improve other aspects of overall health,  including preventive services. Therefore, we examined how BMT affects preventive  health-care outcomes, specifically nine tiolly recommended primary care quality  health-care indicators (QHIs), within federally qualified health centers (FQHCs)  from an observatiol cohort study of 266 opioid-dependent patients initiating BMT  between 07/01/07 and 11/30/08 within Connecticut's largest FQHC network. Nine  tiolly recommended preventive QHIs were collected longitudilly from electronic  health records, including screening for chronic infections, metabolic conditions,  and cancer. A composite QHI score (QHI-S), based on the percentage of eligible QHIs  achieved, was categorized as QHI-S ≥80% (recommended) and ≥90% (optimal). The  proportion of subjects achieving a composite QHI-S ≥80 and ≥90 % was 57.1 and 28.6%,  respectively. Screening was highest for hypertension (91.0%), hepatitis C (80.1%),  hepatitis B (76.3%), human immunodeficiency virus (71.4%), and hyperlipidemia  (72.9%) and lower for syphilis (49.3%) and cervical (58.5%), breast (44.4%), and  colorectal (48.7%) cancer. Achieving QHI-S ≥80% was positively and independently  associated with ≥3-month BMT retention (adjusted odds ratio (AOR)u2009=u20092.19; 95%  confidence interval (CI)u2009=u20091.18-4.04) and BMT prescription by primary care providers  (PCPs) rather than addiction psychiatric specialists (AORu2009=u20093.38; 95%  CIu2009=u20091.78-6.37), and negatively with being female (AORu2009=u20090.30; 95% CIu2009=u20090.16-0.55).  Within primary health-care settings, achieving greater tiolly recommended  health-care screenings or QHIs was associated with being able to successfully retain  patients on buprenorphine longer (3 months or more) and when buprenorphine was  prescribed simultaneously by PCPs rather than psychiatric specialists. Decreased  preventive screening for opioid-dependent women, however, may require gender-based  strategies for achieving health-care parity. When patients can be retained,  integrating BMT into urban FQHCs is associated with improved health outcomes  including increased multiple preventive health-care screenings.FAU - Haddad, Marwan SAU - Haddad MSAD - Community Health Center, Inc., 635 Main Street, Middletown, CT, 06457, USA,  haddadm@chc1.com.FAU - Zelenev, AlexeiAU - Zelenev A""]",['Buprenorphine maintence treatment retention improves tiolly recommended  preventive primary care screenings when integrated into urban federally qualified  health centers'],buprenorphine,1133201,buprenorphine,retrospective,EMR/EHR,Drug,NERVOUS SYSTEM,266,
6,25550126,https://pubmed.ncbi.nlm.nih.gov/25550126,['2015 Feb'],['Jourl of urban health '],"[""Buprenorphine maintence therapy (BMT) expands treatment access for opioid  dependence and can be integrated into primary health-care settings. Treating opioid  dependence, however, should ideally improve other aspects of overall health,  including preventive services. Therefore, we examined how BMT affects preventive  health-care outcomes, specifically nine tiolly recommended primary care quality  health-care indicators (QHIs), within federally qualified health centers (FQHCs)  from an observatiol cohort study of 266 opioid-dependent patients initiating BMT  between 07/01/07 and 11/30/08 within Connecticut's largest FQHC network. Nine  tiolly recommended preventive QHIs were collected longitudilly from electronic  health records, including screening for chronic infections, metabolic conditions,  and cancer. A composite QHI score (QHI-S), based on the percentage of eligible QHIs  achieved, was categorized as QHI-S ≥80% (recommended) and ≥90% (optimal). The  proportion of subjects achieving a composite QHI-S ≥80 and ≥90 % was 57.1 and 28.6%,  respectively. Screening was highest for hypertension (91.0%), hepatitis C (80.1%),  hepatitis B (76.3%), human immunodeficiency virus (71.4%), and hyperlipidemia  (72.9%) and lower for syphilis (49.3%) and cervical (58.5%), breast (44.4%), and  colorectal (48.7%) cancer. Achieving QHI-S ≥80% was positively and independently  associated with ≥3-month BMT retention (adjusted odds ratio (AOR)u2009=u20092.19; 95%  confidence interval (CI)u2009=u20091.18-4.04) and BMT prescription by primary care providers  (PCPs) rather than addiction psychiatric specialists (AORu2009=u20093.38; 95%  CIu2009=u20091.78-6.37), and negatively with being female (AORu2009=u20090.30; 95% CIu2009=u20090.16-0.55).  Within primary health-care settings, achieving greater tiolly recommended  health-care screenings or QHIs was associated with being able to successfully retain  patients on buprenorphine longer (3 months or more) and when buprenorphine was  prescribed simultaneously by PCPs rather than psychiatric specialists. Decreased  preventive screening for opioid-dependent women, however, may require gender-based  strategies for achieving health-care parity. When patients can be retained,  integrating BMT into urban FQHCs is associated with improved health outcomes  including increased multiple preventive health-care screenings.FAU - Haddad, Marwan SAU - Haddad MSAD - Community Health Center, Inc., 635 Main Street, Middletown, CT, 06457, USA,  haddadm@chc1.com.FAU - Zelenev, AlexeiAU - Zelenev A""]",['Buprenorphine maintence treatment retention improves tiolly recommended  preventive primary care screenings when integrated into urban federally qualified  health centers'],opioid-related disorders,4032799,opioid-related disorders,retrospective,EMR/EHR,Condition,Injury and poisoning,266,
7,25555662,https://pubmed.ncbi.nlm.nih.gov/25555662,['2015 Jun'],['American jourl of obstetrics and gynecology'],"['OBJECTIVE: We sought to compare complication and continuation rates of the  levonorgestrel intrauterine system (LNG-IUS) with the subdermal etonogestrel (ENG)  implant across the United States among girls and women 15-44 years of age. STUDY  DESIGN: A retrospective study of health insurance claims records from 2007 through  2011 identified a cohort of women who had LNG-IUS (n = 79,920) or ENG implants (n =  7374) inserted and had insurance coverage for 12 months postinsertion. Claims for  complications were examined 12 months after insertion, or until removal of either  device within each of 3 age groups. RESULTS: After its introduction in 2007, the  frequency of ENG implants increased each year and almost a third of all insertions  were in teegers. However, among women ≤24 years old who had delivered an infant in  the prior 8 weeks, a LNG-IUS was more likely to be inserted than an ENG implant (P <  .05). The most frequent complications with both methods were related to abnormal  menstruation, which was more likely to occur among ENG implant users. Overall,  83-88% of the entire sample used their chosen method for at least 12 months. The  odds of continuation were similar for both methods among teegers, but ENG implants  were more likely to be removed prematurely among women 20-24 years old (odds ratio,  1.21; 95% confidence interval, 1.06-1.39) and 25-44 years old (odds ratio, 1.49; 95%  confidence interval, 1.35-1.64). CONCLUSION: Both of these long-acting contraceptive  methods are well tolerated among women of all ages, and demonstrate high  continuation rates.']",['Complications and continuation rates associated with 2 types of long-acting  contraception'],desogestrel,1588000,desogestrel,retrospective,claims,Drug,GENITO URIRY SYSTEM AND SEX HORMONES,79920,United States
8,25555662,https://pubmed.ncbi.nlm.nih.gov/25555662,['2015 Jun'],['American jourl of obstetrics and gynecology'],"['OBJECTIVE: We sought to compare complication and continuation rates of the  levonorgestrel intrauterine system (LNG-IUS) with the subdermal etonogestrel (ENG)  implant across the United States among girls and women 15-44 years of age. STUDY  DESIGN: A retrospective study of health insurance claims records from 2007 through  2011 identified a cohort of women who had LNG-IUS (n = 79,920) or ENG implants (n =  7374) inserted and had insurance coverage for 12 months postinsertion. Claims for  complications were examined 12 months after insertion, or until removal of either  device within each of 3 age groups. RESULTS: After its introduction in 2007, the  frequency of ENG implants increased each year and almost a third of all insertions  were in teegers. However, among women ≤24 years old who had delivered an infant in  the prior 8 weeks, a LNG-IUS was more likely to be inserted than an ENG implant (P <  .05). The most frequent complications with both methods were related to abnormal  menstruation, which was more likely to occur among ENG implant users. Overall,  83-88% of the entire sample used their chosen method for at least 12 months. The  odds of continuation were similar for both methods among teegers, but ENG implants  were more likely to be removed prematurely among women 20-24 years old (odds ratio,  1.21; 95% confidence interval, 1.06-1.39) and 25-44 years old (odds ratio, 1.49; 95%  confidence interval, 1.35-1.64). CONCLUSION: Both of these long-acting contraceptive  methods are well tolerated among women of all ages, and demonstrate high  continuation rates.']",['Complications and continuation rates associated with 2 types of long-acting  contraception'],levonorgestrel,1589505,levonorgestrel,retrospective,claims,Drug,GENITO URIRY SYSTEM AND SEX HORMONES,79920,United States
9,25557261,https://pubmed.ncbi.nlm.nih.gov/25557261,['2015 Mar'],['Expert opinion on drug safety'],"[""OBJECTIVE: This retrospective alysis assessed the capability of active and passive  safety surveillance systems to track product-specific safety events in the USA for  branded and generic enoxaparin, a complex injectable subject to immune-related and  other adverse events (AEs). METHODS: Alysis of heparin-induced thrombocytopenia  (HIT) incidence was performed on benefit claims for commercial and Medicare  supplemental-insured individuals newly treated with enoxaparin under pharmacy  benefit (1 January 2009 - 30 June 2012). Additiolly, spontaneous reports from the  FDA AE Reporting System were reviewed to identify incidence and attribution of  enoxaparin-related reports to specific manufacturers. RESULTS: Specific, dispensed  products were identifiable from tiol Drug Codes only in pharmacy-benefit  databases, permitting sensitive comparison of HIT incidence in nearly a third of  patients treated with brand or generic enoxaparin. After origitor medicine's loss  of exclusivity, only 5% of spontaneous reports were processed by generic  manufacturers; reports attributable to specific generics were approximately ninefold  lower than expected based on market share. CONCLUSIONS: Claims data were useful for  active surveillance of enoxaparin generics dispensed under pharmacy benefits but not  for products administered under medical benefits. These findings suggest that the  current spontaneous reporting system will not distinguish product-specific safety  sigls for products distributed by multiple manufacturers, including biosimilars.FAU - Grampp, GustavoAU - Grampp GAD - Amgen, Inc. , 4000 Nelson Rd, Longmont, CO 80503 , USA +1 303 401 2587 ; +1 303 401  4404 ; ginog@amgen.com.FAU - Bofede, MachaoU - Bofede MFAU - Felix, ThomasAU - Felix TFAU - Li, EdwardAU - Li EFAU - Malecki, MichaelAU - Malecki M""]",['Active and passive surveillance of enoxaparin generics: a case study relevant to  biosimilars'],thrombocytopenia,432870,thrombocytopenia,retrospective,claims,Condition,Blood disease,,
